Scenario,Tool,Tasks,Phase,Iteration,Sample,Duration,Count
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,40,total execution time,739.24,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,40,garbage collection time,12.00,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,40,local cache size,0.00,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,41,total execution time,787.62,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,41,garbage collection time,4.00,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,41,local cache size,0.00,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,42,total execution time,767.34,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,42,garbage collection time,45.00,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,42,local cache size,0.00,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,43,total execution time,784.14,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,43,garbage collection time,17.00,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,43,local cache size,0.00,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,44,total execution time,725.92,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,44,garbage collection time,10.00,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,44,local cache size,0.00,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,45,total execution time,762.17,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,45,garbage collection time,11.00,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,45,local cache size,0.00,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,46,total execution time,810.72,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,46,garbage collection time,29.00,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,46,local cache size,0.00,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,47,total execution time,741.23,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,47,garbage collection time,24.00,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,47,local cache size,0.00,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,48,total execution time,739.92,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,48,garbage collection time,15.00,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,48,local cache size,0.00,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,49,total execution time,731.09,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,49,garbage collection time,9.00,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,49,local cache size,0.00,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,50,total execution time,766.36,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,50,garbage collection time,14.00,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,50,local cache size,0.00,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,51,total execution time,771.58,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,51,garbage collection time,26.00,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,51,local cache size,0.00,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,52,total execution time,743.38,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,52,garbage collection time,24.00,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,52,local cache size,0.00,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,53,total execution time,750.14,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,53,garbage collection time,14.00,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,53,local cache size,0.00,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,54,total execution time,809.58,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,54,garbage collection time,11.00,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,54,local cache size,0.00,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,55,total execution time,854.02,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,55,garbage collection time,36.00,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,55,local cache size,0.00,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,56,total execution time,796.76,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,56,garbage collection time,66.00,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,56,local cache size,0.00,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,57,total execution time,764.03,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,57,garbage collection time,27.00,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,57,local cache size,0.00,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,58,total execution time,721.32,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,58,garbage collection time,20.00,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,58,local cache size,0.00,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,59,total execution time,757.79,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,59,garbage collection time,36.00,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,59,local cache size,0.00,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,60,total execution time,730.33,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,60,garbage collection time,23.00,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,60,local cache size,0.00,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,61,total execution time,754.50,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,61,garbage collection time,11.00,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,61,local cache size,0.00,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,62,total execution time,743.77,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,62,garbage collection time,28.00,1
